"Trait" "Rep" "Acc.TotGen" "Model"
"485" "DM" 10 0.573526553170837 "C1_GBS"
"486" "DM" 11 0.573406566232929 "C1_GBS"
"487" "DM" 12 0.567903384988091 "C1_GBS"
"488" "DM" 13 0.576239041682323 "C1_GBS"
"489" "DM" 14 0.573212937751532 "C1_GBS"
"490" "DM" 15 0.573919718096665 "C1_GBS"
"491" "DM" 16 0.585107414816515 "C1_GBS"
"492" "DM" 17 0.572964539910374 "C1_GBS"
"493" "DM" 18 0.56947543474506 "C1_GBS"
"494" "DM" 19 0.563996027970274 "C1_GBS"
"495" "DM" 20 0.576969582634738 "C1_GBS"
"496" "DM" 21 0.579695641860278 "C1_GBS"
"497" "DM" 22 0.571845008248148 "C1_GBS"
"498" "DM" 23 0.563600788273696 "C1_GBS"
"499" "DM" 24 0.57304909441864 "C1_GBS"
"500" "DM" 25 0.574671865172707 "C1_GBS"
"501" "logRTWT" 1 0.143082287749218 "C1_GBS"
"502" "logRTWT" 2 0.155221622621508 "C1_GBS"
"503" "logRTWT" 3 0.162281138278982 "C1_GBS"
"504" "logRTWT" 4 0.151417424563541 "C1_GBS"
"505" "logRTWT" 5 0.128429277175243 "C1_GBS"
"506" "logRTWT" 6 0.145516941949152 "C1_GBS"
"507" "logRTWT" 7 0.148631506002175 "C1_GBS"
"508" "logRTWT" 8 0.169673955530584 "C1_GBS"
"509" "logRTWT" 9 0.173988282227242 "C1_GBS"
"510" "logRTWT" 10 0.155281165821434 "C1_GBS"
"511" "logRTWT" 11 0.156727530197173 "C1_GBS"
"512" "logRTWT" 12 0.156603232189947 "C1_GBS"
"513" "logRTWT" 13 0.149934416558673 "C1_GBS"
"514" "logRTWT" 14 0.155190525268095 "C1_GBS"
"515" "logRTWT" 15 0.132925869208372 "C1_GBS"
"516" "logRTWT" 16 0.151373545008798 "C1_GBS"
"517" "logRTWT" 17 0.147367557381726 "C1_GBS"
"518" "logRTWT" 18 0.134756306287222 "C1_GBS"
"519" "logRTWT" 19 0.168341011111876 "C1_GBS"
"520" "logRTWT" 20 0.148472178865185 "C1_GBS"
"521" "logRTWT" 21 0.143663940073892 "C1_GBS"
"522" "logRTWT" 22 0.156064027054206 "C1_GBS"
"523" "logRTWT" 23 0.106806320410074 "C1_GBS"
"524" "logRTWT" 24 0.154375109212116 "C1_GBS"
"525" "logRTWT" 25 0.140524905864373 "C1_GBS"
"526" "logRTNO" 1 0.110895979548944 "C1_GBS"
"527" "logRTNO" 2 0.0942064816880946 "C1_GBS"
"528" "logRTNO" 3 0.106641333505567 "C1_GBS"
"529" "logRTNO" 4 0.0975868161548487 "C1_GBS"
"530" "logRTNO" 5 0.107789286241459 "C1_GBS"
"531" "logRTNO" 6 0.0976742923025675 "C1_GBS"
"532" "logRTNO" 7 0.10658982169009 "C1_GBS"
"533" "logRTNO" 8 0.0961283630952739 "C1_GBS"
"534" "logRTNO" 9 0.0794649264563523 "C1_GBS"
"535" "logRTNO" 10 0.103703148654989 "C1_GBS"
"536" "logRTNO" 11 0.0987525057711398 "C1_GBS"
"537" "logRTNO" 12 0.125463562918416 "C1_GBS"
"538" "logRTNO" 13 0.105446079375407 "C1_GBS"
"539" "logRTNO" 14 0.127448967718076 "C1_GBS"
"540" "logRTNO" 15 0.136737673760335 "C1_GBS"
"541" "logRTNO" 16 0.0866654249136763 "C1_GBS"
"542" "logRTNO" 17 0.0885926944809782 "C1_GBS"
"543" "logRTNO" 18 0.107830262712175 "C1_GBS"
"544" "logRTNO" 19 0.0960432009157614 "C1_GBS"
"545" "logRTNO" 20 0.0694727542215588 "C1_GBS"
"546" "logRTNO" 21 0.101044526837064 "C1_GBS"
"547" "logRTNO" 22 0.0842978717580195 "C1_GBS"
"548" "logRTNO" 23 0.113536145785472 "C1_GBS"
"549" "logRTNO" 24 0.0985564037887459 "C1_GBS"
"550" "logRTNO" 25 0.114015405338677 "C1_GBS"
"551" "logSHTWT" 1 0.245080089787523 "C1_GBS"
"552" "logSHTWT" 2 0.24785436911535 "C1_GBS"
"553" "logSHTWT" 3 0.250847280210207 "C1_GBS"
"554" "logSHTWT" 4 0.247315781155007 "C1_GBS"
"555" "logSHTWT" 5 0.225937389169691 "C1_GBS"
"556" "logSHTWT" 6 0.235562259905667 "C1_GBS"
"557" "logSHTWT" 7 0.23196460684276 "C1_GBS"
"558" "logSHTWT" 8 0.223274746129689 "C1_GBS"
"559" "logSHTWT" 9 0.233882682031948 "C1_GBS"
"560" "logSHTWT" 10 0.247634099884129 "C1_GBS"
"561" "logSHTWT" 11 0.247592920392728 "C1_GBS"
"562" "logSHTWT" 12 0.240263677852349 "C1_GBS"
"563" "logSHTWT" 13 0.235860785457688 "C1_GBS"
"564" "logSHTWT" 14 0.249987421750614 "C1_GBS"
"565" "logSHTWT" 15 0.251093448280362 "C1_GBS"
"566" "logSHTWT" 16 0.250363412533278 "C1_GBS"
"567" "logSHTWT" 17 0.234910203471752 "C1_GBS"
"568" "logSHTWT" 18 0.249138516478366 "C1_GBS"
"569" "logSHTWT" 19 0.253700771183953 "C1_GBS"
"570" "logSHTWT" 20 0.254120619470009 "C1_GBS"
"571" "logSHTWT" 21 0.238260992139043 "C1_GBS"
"572" "logSHTWT" 22 0.244924966500366 "C1_GBS"
"573" "logSHTWT" 23 0.217499385494775 "C1_GBS"
"574" "logSHTWT" 24 0.222983909269745 "C1_GBS"
"575" "logSHTWT" 25 0.250766396171013 "C1_GBS"
